id,lat,lon,name,address,neighborhood,source
osm-11171137174,21.3246543,-158.0223945,,"Keaunui Drive Road, Ewa Beach, Honolulu County, Hawaii, 96706, United States",ewa-beach,osm
osm-12865037797,21.2847579,-157.8373715,,"Pomaikai, 1804, Ala Moana Boulevard, McCully, Honolulu, Honolulu County, Hawaii, 96815, United States",honolulu,osm
osm-54057982,21.285611,-157.8248291,Dillingham Pool,"Dillingham Pool, Old Tennis Court Road, Waikīkī, Honolulu, Honolulu County, Hawaii, 96926, United States",honolulu,osm
osm-133736074,21.339045,-157.8589179,,"Bishop Drive, Kapalama, Honolulu, Honolulu County, Hawaii, 96817, United States",honolulu,osm
osm-134180417,21.2931988,-157.817492,Duke Kahanamoku Pool,"Duke Kahanamoku UH Aquatic Complex, Lower Campus Road, Moiliili, McCully, East Honolulu, Honolulu, Honolulu County, Hawaii, 96848, United States",honolulu,osm
osm-134180418,21.2935063,-157.817793,Duke Kahanamoku Pool,"Duke Kahanamoku UH Aquatic Complex, Lower Campus Road, Moiliili, McCully, East Honolulu, Honolulu, Honolulu County, Hawaii, 96848, United States",honolulu,osm
osm-155036816,21.3365257,-158.1109649,,"Ali'inui Drive, Kapolei, Honolulu County, Hawaii, 96707, United States",unknown,osm
osm-158419239,21.2868748,-157.6983399,,"Lunalilo Home Road, Marina East, East Honolulu, Honolulu, Honolulu County, Hawaii, 96825, United States",hawaii-kai,osm
osm-158419260,21.2868221,-157.698373,,"Lunalilo Home Road, Marina East, East Honolulu, Honolulu, Honolulu County, Hawaii, 96825, United States",hawaii-kai,osm
osm-158436261,21.2864431,-157.6990226,,"Lunalilo Home Road, Marina East, East Honolulu, Honolulu, Honolulu County, Hawaii, 96825, United States",hawaii-kai,osm
osm-158436262,21.2864561,-157.6988741,,"Lunalilo Home Road, Marina East, East Honolulu, Honolulu, Honolulu County, Hawaii, 96825, United States",hawaii-kai,osm
osm-158436263,21.2844451,-157.6956814,,"511, Lunalilo Home Road, Lunalilo Park Mauka, East Honolulu, Honolulu, Honolulu County, Hawaii, 96825, United States",hawaii-kai,osm
osm-158436273,21.2863347,-157.6990022,,"Lunalilo Home Road, Marina East, East Honolulu, Honolulu, Honolulu County, Hawaii, 96825, United States",hawaii-kai,osm
osm-161930089,21.3353833,-158.0860494,Hawaiian Waters Wave Pool,"Farrington Highway, Makakilo City, Kapolei, Honolulu County, Hawaii, 96707, United States",kapolei,osm
osm-170840519,21.2986458,-157.7971422,Palolo Valley Swimming Pool,"Palolo Valley Swimming Pool, Palolo Avenue, Pālolo, East Honolulu, Honolulu, Honolulu County, Hawaii, 96848, United States",kaimuki,osm
osm-186252430,21.3949779,-157.7392595,Kailua Pool,"Kailua Pool, South Kainalu Drive, Kailua, Honolulu County, Hawaii, 96735, United States",kailua,osm
osm-191767730,21.338866,-158.1257531,,"Olani Street, Kapolei, Honolulu County, Hawaii, 96707, United States",unknown,osm
osm-192388935,21.5019161,-158.2249565,,"Keaau Homesteads Road, Honolulu County, Hawaii, United States",unknown,osm
osm-205436630,21.5796728,-158.1749918,,"Laau Paina Place, Mokulē‘ia Beach Colony Condominium, Mokuleia, Honolulu County, Hawaii, 96791, United States",unknown,osm
osm-239383704,21.4179558,-158.0086549,,"Ka Uka Boulevard, Crestview, Waipahu, Honolulu County, Hawaii, 96797, United States",unknown,osm
osm-239383705,21.4181989,-158.0086564,,"Crestview, Waipahu, Honolulu County, Hawaii, 96797, United States",unknown,osm
osm-239383707,21.4184037,-158.0086564,,"Ka Uka Boulevard, Crestview, Waipahu, Honolulu County, Hawaii, 96797, United States",unknown,osm
osm-239952249,21.3911384,-157.7208144,,"Aalapapa Way, Lanikai, Kailua, Honolulu County, Hawaii, 96735, United States",kailua,osm
osm-240451156,21.3849326,-157.7527468,,"Kailua Road, Maunawili, Enchanted Lake, Kailua, Honolulu County, Hawaii, 96734, United States",kailua,osm
osm-240721520,21.2891065,-157.8398231,,"1600, Ala Moana Boulevard, Ala Moana, East Honolulu, Honolulu, Honolulu County, Hawaii, 96815, United States",honolulu,osm
osm-244434714,21.4894835,-158.0601436,Richardson Pool,"Richardson Pool, Kolekole Avenue, Waipahu, Honolulu County, Hawaii, 96957, United States",schofield-barracks,osm
osm-245567934,21.2769458,-157.8298627,Helumoa Pool,"Helumoa Pool, Kalia Road, Waikīkī, Honolulu, Honolulu County, Hawaii, 96815, United States",waikiki,osm
osm-245567938,21.2769858,-157.8307332,Infinity Edge Pool,"Infinity Edge Pool, Kalia Road, Waikīkī, Honolulu, Honolulu County, Hawaii, 96815, United States",waikiki,osm
osm-245567939,21.2775185,-157.8316391,,"Halekulani Hotel, 2199, Kalia Road, Waikīkī, Honolulu, Honolulu County, Hawaii, 96815, United States",waikiki,osm
osm-245606502,21.2902293,-157.706526,,"Hawai’i Kai Drive, Hahaione High Rise, East Honolulu, Honolulu, Honolulu County, Hawaii, 96825, United States",hawaii-kai,osm
osm-255019388,21.3513479,-157.9477764,Scott Pool,"Pearl Harbor Boulevard, Hickam, Waipahu, Honolulu County, Hawaii, 96853, United States",pearl-harbor,osm
osm-279651029,21.3453224,-157.9019887,,"Ala Napunani Street, Mapunapuna, Honolulu, Honolulu County, Hawaii, 96818, United States",unknown,osm
